timestamp,bandwidth,throughput,congestion,packet_loss,latency,jitter,Routers,Planned route,Network measure,Network target,Video target,Percentage video occupancy,Bitrate video,Number videos,anomaly_throughput,anomaly_congestion,anomaly_packet_loss,anomaly_latency,anomaly_jitter,anomaly
5/11/2024 12:00,2,2.15,0.38,0,6.58,0.52,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:00,2,2.16,0.12,0,5.36,0.34,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:01,2,2,0.08,0,6.29,0.23,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:01,2,2.07,0.07,0,5.91,0.51,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:02,2,2.4,0.08,0,5.81,0.71,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:02,2,2.07,0.12,0,6.81,0.29,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:03,2,2.05,0.16,0,5.82,0.34,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:03,2,1.89,0.44,0,5.47,0.48,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:04,2,2.66,0.07,0,13.19,0.56,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:04,2,1.85,0.09,0,5.66,0.28,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:04,2,2.24,0.06,0,5.8,0.56,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:05,2,1.83,0.32,0,5.86,0.47,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:05,2,1.44,0.35,0,5.71,0.49,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:06,2,2.27,0.06,17.5,6.01,1.98,up xrv6,Best effort,S1,S2,,0,0,0,0,0,1,0,1,1
5/11/2024 12:06,2,2.37,0.09,0,5.73,0.44,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:07,2,2.64,0.1,0,5.65,0.29,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:07,2,1.97,0.05,0,5.42,0.45,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:08,2,2.03,0.06,0,6.23,0.54,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:08,2,1.62,0.12,0,5.52,0.23,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:09,2,1.77,0.06,0,5.72,0.4,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:09,2,1.73,0.05,0,5.43,0.52,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:10,2,2.21,0.05,0,5.57,0.39,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:10,2,2.67,0.05,0,5.69,0.36,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:11,2,2.71,0.03,0,5.46,0.31,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:11,2,2.47,0.12,0,5.64,0.34,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:11,2,2.22,0.05,0,5.93,0.5,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:12,2,2.12,0.05,0,5.24,0.34,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:12,2,2.26,0.03,0,5.44,0.29,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:13,2,2.48,0.07,0,5.5,0.61,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:13,2,1.92,0.57,0,5.31,0.27,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:14,2,1.42,0.08,0,5.75,0.39,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:14,2,2.82,0.09,0,5.94,0.46,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:15,2,2.65,0.14,17.5,5.93,0.29,up xrv6,Best effort,S1,S2,,0,0,0,0,0,1,0,0,0
5/11/2024 12:15,2,3.6,0.09,17.5,5.79,0.44,up xrv6,Best effort,S1,S2,,0,0,0,0,0,1,0,0,0
5/11/2024 12:16,2,2.71,0.09,0,5.55,0.45,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:16,2,2.71,0.07,0,5.79,0.35,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:16,2,2.03,0.13,0,5.46,0.21,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:17,2,2.37,0.06,0,6.37,0.4,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:17,2,1.86,0.13,0,5.91,0.26,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:18,2,2.43,0.09,0,6.08,0.36,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
5/11/2024 12:18,2,1.77,0.06,0,5.82,0.55,up xrv6,Best effort,S1,S2,,0,0,0,0,0,0,0,0,0
